city,county_name,lat,lng
Imperial Beach,San Diego,32.5689,-117.1184
Ladera Ranch,Orange,33.5491,-117.6416
Windsor,Sonoma,38.5417,-122.8086
Maywood,Los Angeles,33.9885,-118.1877
Belmont,San Mateo,37.5154,-122.2955
Lemon Grove,San Diego,32.7331,-117.0344
Lemoore,Kings,36.2949,-119.7983
West Whittier-Los Nietos,Los Angeles,33.9759,-118.0689
Lafayette,Contra Costa,37.8919,-122.1189
Norco,Riverside,33.9252,-117.5499
Brawley,Imperial,32.9783,-115.5287
Hercules,Contra Costa,38.0064,-122.2564
Soledad,Monterey,36.4432,-121.3426
Twentynine Palms,San Bernardino,34.1478,-116.0659
Bay Point,Contra Costa,38.0329,-121.9614
San Lorenzo,Alameda,37.6737,-122.1349
El Cerrito,Contra Costa,37.9197,-122.3025
South Pasadena,Los Angeles,34.1103,-118.1573
Yucca Valley,San Bernardino,34.1234,-116.4216
Riverbank,Stanislaus,37.7268,-120.9402
North Tustin,Orange,33.7644,-117.7945
Lathrop,San Joaquin,37.8090,-121.3131
Loma Linda,San Bernardino,34.0451,-117.2498
Dinuba,Tulare,36.5453,-119.3987
Ashland,Alameda,37.6942,-122.1159
San Fernando,Los Angeles,34.2886,-118.4363
Seal Beach,Orange,33.7542,-118.0714
Calabasas,Los Angeles,34.1375,-118.6689
Coronado,San Diego,32.6640,-117.1600
Valinda,Los Angeles,34.0401,-117.9300
Half Moon Bay,San Mateo,37.4688,-122.4383
Rosemont,Sacramento,38.5477,-121.3553
Oakdale,Stanislaus,37.7616,-120.8470
Cudahy,Los Angeles,33.9631,-118.1830
Winter Gardens,San Diego,32.8376,-116.9268
West Puente Valley,Los Angeles,34.0512,-117.9681
Granite Bay,Placer,38.7601,-121.1714
Patterson,Stanislaus,37.4758,-121.1535
West Rancho Dominguez,Los Angeles,33.9057,-118.2682
Laguna Beach,Orange,33.5448,-117.7612
Willowbrook,Los Angeles,33.9199,-118.2362
Marina,Monterey,36.6812,-121.7895
Corcoran,Kings,36.0839,-119.5610
Millbrae,San Mateo,37.5994,-122.4023
Arvin,Kern,35.1944,-118.8306
West Carson,Los Angeles,33.8229,-118.2931
Port Hueneme,Ventura,34.1617,-119.2036
Lakeside,San Diego,32.8560,-116.9040
Bloomington,San Bernardino,34.0601,-117.4013
Lennox,Los Angeles,33.9380,-118.3586
Rancho San Diego,San Diego,32.7624,-116.9197
Shafter,Kern,35.4794,-119.2013
Ramona,San Diego,33.0474,-116.8767
Duarte,Los Angeles,34.1610,-117.9504
Rosamond,Kern,34.8658,-118.2154
Dixon,Solano,38.4468,-121.8249
South El Monte,Los Angeles,34.0493,-118.0484
American Canyon,Napa,38.1796,-122.2583
Prunedale,Monterey,36.8064,-121.6555
Lomita,Los Angeles,33.7933,-118.3175
Linda,Yuba,39.1241,-121.5421
Agoura Hills,Los Angeles,34.1510,-118.7608
East Hemet,Riverside,33.7301,-116.9410
Mead Valley,Riverside,33.8333,-117.2852
La Cañada Flintridge,Los Angeles,34.2097,-118.2002
South San Jose Hills,Los Angeles,34.0123,-117.9041
Orinda,Contra Costa,37.8808,-122.1791
